,subj_idx,movie,movie_arousal,movie_valence
238,4,imageHH12,5.0,5.0
239,4,imageHL11,3.0,3.0
240,4,imageLL9,5.0,1.0
241,4,imageLL11,5.0,5.0
242,4,imageLH11,3.0,1.0
282,4,imageHL13,3.0,3.0
283,4,imageHH13,5.0,3.0
284,4,imageHL14,5.0,5.0
285,4,imageHH11,5.0,5.0
286,4,imageLH14,3.0,1.0
287,4,imageLH13,3.0,1.0
288,4,imageLL12,3.0,1.0
289,4,imageLL14,5.0,3.0
0,5,imageHL2,1.0,3.0
1,5,imageLL5,5.0,1.0
2,5,imageLH11,5.0,4.0
3,5,imageHH1,4.0,3.0
4,5,imageLH2,5.0,2.0
5,5,imageHL1,3.0,3.0
6,5,imageLL9,4.0,2.0
7,5,imageHH14,2.0,3.0
47,5,imageHH4,3.0,5.0
48,5,imageLL6,4.0,4.0
49,5,imageHL6,3.0,3.0
50,5,imageLH14,4.0,1.0
51,5,imageHH2,5.0,4.0
52,5,imageHL9,3.0,2.0
53,5,imageLL4,4.0,2.0
54,5,imageLH1,5.0,2.0
94,5,imageLL14,4.0,2.0
95,5,imageHL13,1.0,3.0
96,5,imageHH11,5.0,4.0
97,5,imageLL3,2.0,2.0
98,5,imageHH10,3.0,2.0
99,5,imageLH12,4.0,3.0
100,5,imageHL8,1.0,3.0
101,5,imageLH10,4.0,3.0
141,5,imageHL3,3.0,3.0
142,5,imageHH7,2.0,3.0
143,5,imageLL2,5.0,4.0
144,5,imageLH8,4.0,2.0
145,5,imageLH5,5.0,3.0
146,5,imageHH13,3.0,4.0
147,5,imageLL12,4.0,1.0
148,5,imageHL5,4.0,2.0
188,5,imageLH4,5.0,2.0
189,5,imageLH9,5.0,2.0
190,5,imageHH5,2.0,3.0
191,5,imageHL12,1.0,3.0
192,5,imageHL11,1.0,3.0
193,5,imageLL10,4.0,3.0
194,5,imageLL8,5.0,3.0
195,5,imageHH3,1.0,3.0
235,5,imageHH12,4.0,3.0
236,5,imageHL4,4.0,3.0
237,5,imageLL11,5.0,1.0
238,5,imageLH7,4.0,1.0
239,5,imageLL13,2.0,1.0
240,5,imageHL14,1.0,3.0
241,5,imageLH3,5.0,3.0
242,5,imageHH9,3.0,2.0
282,5,imageHH8,3.0,3.0
283,5,imageHH6,1.0,2.0
284,5,imageHL7,4.0,1.0
285,5,imageHL10,1.0,3.0
286,5,imageLH6,5.0,3.0
287,5,imageLH13,5.0,2.0
288,5,imageLL1,3.0,1.0
289,5,imageLL7,3.0,3.0
0,6,imageHH9,5.0,4.0
1,6,imageLH3,5.0,3.0
2,6,imageLH2,5.0,1.0
3,6,imageLL14,5.0,1.0
4,6,imageHH4,3.0,3.0
5,6,imageLL12,4.0,1.0
6,6,imageHL3,1.0,1.0
7,6,imageHL4,2.0,4.0
47,6,imageHH10,4.0,2.0
48,6,imageLH14,5.0,1.0
49,6,imageHH13,5.0,3.0
50,6,imageLL3,2.0,3.0
51,6,imageLH12,5.0,3.0
52,6,imageLL4,4.0,1.0
53,6,imageHL11,1.0,3.0
54,6,imageHL12,2.0,5.0
94,6,imageLH7,5.0,1.0
95,6,imageHL7,3.0,1.0
96,6,imageHH6,3.0,4.0
97,6,imageHL9,3.0,4.0
98,6,imageLL8,5.0,2.0
99,6,imageLH11,5.0,2.0
100,6,imageLL2,3.0,1.0
101,6,imageHH1,4.0,2.0
141,6,imageLL5,5.0,1.0
