subj_idx,stim,rt,response
3,0V1A,0.979,0
3,0V1A,1.871,1
3,0V1A,7.455226016,1
3,0V1A,7.455226016,1
3,0V1A,6.0459,0
3,0V1A,1.1449,0
3,0V1A,2.412,1
3,1V0A,2.985,1
3,1V0A,2.5879,1
3,1V0A,2.3149,1
3,1V0A,2.096,1
3,1V0A,2.712,1
3,1V0A,2.2339,1
3,1V0A,2.3799,1
3,1V0A,0.615,0
3,1V0A,2.416,1
3,1V0A,4.8779,0
3,1V0A,5.4529,1
3,1V0A,1.95,0
3,1V0A,1.667,1
3,1V0A,1.2319,1
3,1V0A,1.9869,0
3,1V0A,0.753,1
3,1V0A,3.512,1
3,1V0A,1.7019,0
3,1V0A,3.056,1
3,1V0A,1.201,1
3,1V0A,2.345,0
3,1V0A,3.304,1
3,1V0A,4.0999,0
3,1V0A,7.455226016,1
3,1V0A,2.3269,1
3,1V0A,0.5559,1
3,1V0A,1.055,1
3,1V0A,1.172,1
3,1V1A,3.11,1
3,1V1A,2.134,1
3,1V1A,1.697,1
3,1V1A,2.533,1
3,1V1A,1.5869,1
3,1V1A,2.035,1
3,1V1A,1.716,0
3,1V1A,0.595,0
3,1V1A,4.262,1
3,1V1A,3.451,1
3,1V1A,1.3289,1
3,1V1A,1.6449,1
3,1V1A,7.455226016,1
3,1V1A,1.105,1
3,1V1A,1.1109,1
3,1V1A,1.1109,1
3,1V1A,2.489,0
3,1V1A,1.594,1
3,1V1A,2.256,1
3,1V1A,3.019,0
3,1V1A,1.4139,1
3,1V1A,4.121,1
3,1V1A,5,0
3,1V1A,2.8209,1
3,1V1A,1.1689,0
3,1V1A,1.2619,1
3,1V1A,7.23,1
3,1V1A,0.745,1
3,1Vne1A,2.2939,1
3,1Vne1A,1.7669,1
3,1Vne1A,1.543,1
3,1Vne1A,2.2309,1
3,1Vne1A,7.2789,1
3,1Vne1A,2.068,1
3,1Vne1A,2.485,1
3,1Vne1A,2.598,1
3,1Vne1A,1.32,1
3,1Vne1A,1.5779,1
3,1Vne1A,2.402,0
3,1Vne1A,1.6329,1
3,1Vne1A,1.801,1
3,1Vne1A,1.6449,1
3,1Vne1A,1.121,1
3,1Vne1A,5.3809,1
3,1Vne1A,1.336,1
3,1Vne1A,1.5289,1
3,1Vne1A,4.3209,1
3,1Vne1A,5.235,1
3,1Vne1A,3.845,0
3,1Vne1A,2.0109,0
3,1Vne1A,2.298,1
3,1Vne1A,1.5869,1
3,1Vne1A,0.8559,1
3,1Vne1A,1.4629,1
3,1Vne1A,2.2019,1
3,1Vne1A,1.494,0
4,0V0A,2.9355,1
4,0V0A,1.9185,1
4,0V0A,2.1972,1
4,0V0A,1.8728,0
4,0V0A,1.9849,1
4,0V0A,1.9495,0
4,0V0A,3.7526,0
4,0V0A,1.8225,0
4,0V0A,2.0921,0
4,0V0A,2.4561,1
4,0V0A,3.2585,0
4,0V0A,1.825,1
4,0V0A,1.5805,0
4,0V0A,1.4935,0
4,0V0A,2.0154,0
4,0V0A,1.6207,1
4,0V0A,5.3249,1
4,0V0A,2.661,1
4,0V0A,7.1608,0
4,0V0A,2.5851,1
4,0V0A,2.5338,1
4,0V0A,4.2798,0
4,0V0A,6.001,0
4,0V0A,2.3393,0
4,0V0A,1.9342,1
4,0V0A,0.7602,1
4,0V0A,1.5348,1
4,0V0A,1.1185,1
4,0V1A,1.7577,0
4,0V1A,2.5405,0
4,0V1A,2.0625,1
4,0V1A,7.772904396,1
4,0V1A,2.3692,1
4,0V1A,7.772904396,0
4,0V1A,2.6349,0
4,0V1A,4.6878,0
4,0V1A,3.5639,0
4,0V1A,4.8871,1
4,0V1A,1.7335,0
4,0V1A,3.6087,0
4,0V1A,2.9942,1
4,0V1A,1.6843,1
4,0V1A,1.8906,0
4,0V1A,1.7615,0
4,0V1A,2.7624,0
4,0V1A,3.3103,1
4,0V1A,4.5375,1
4,0V1A,2.6445,1
4,0V1A,2.3871,0
4,0V1A,1.9353,0
4,0V1A,1.3737,0
4,0V1A,7.772904396,1
4,0V1A,1.8574,0
4,0V1A,2.4227,0
4,0V1A,1.7048,0
4,0V1A,5.1176,0
4,1V0A,2.4481,0
4,1V0A,1.5171,1
4,1V0A,2.1767,1
4,1V0A,1.9908,0
4,1V0A,7.772904396,1
4,1V0A,2.441,0
4,1V0A,1.8726,0
4,1V0A,2.27,1
4,1V0A,2.5951,0
4,1V0A,1.654,0
4,1V0A,2.3723,1
4,1V0A,1.0973,0
4,1V0A,3.0059,0
4,1V0A,1.6,0
4,1V0A,2.3203,1
4,1V0A,0.7669,0
4,1V0A,3.1427,1
4,1V0A,2.9945,1
4,1V0A,1.5314,0
4,1V0A,1.9351,0
4,1V0A,2.4283,1
4,1V0A,1.331,0
4,1V0A,6.2107,1
4,1V0A,2.0867,0
4,1V0A,4.9464,0
4,1V0A,3.4782,1
4,1V0A,2.2875,1
4,1V0A,1.3465,0
4,1V1A,3.5595,1
4,1V1A,2.3301,0
4,1V1A,7.772904396,0
4,1V1A,1.1799,0
4,1V1A,2.0827,0
4,1V1A,2.5455,1
