,subj_idx,stim,rt,response,group,arousal,valence
3588,3,0V1A,3.0877,1,group1,5,4
3589,3,0V1A,3.5911,1,group1,4,4
3590,3,0V1A,2.481,1,group1,4,4
3591,3,0V1A,2.3749,1,group1,4,4
3592,3,0V1A,1.1047,1,group1,4,4
3593,3,0V1A,4.9916,1,group1,2,3
3594,3,0V1A,3.2442,0,group1,2,3
3595,3,0V1A,2.3602,0,group1,2,3
3596,3,0V1A,3.7456,1,group1,2,3
3597,3,0V1A,4.072,1,group1,4,3
3598,3,0V1A,2.0799,0,group1,4,3
3599,3,0V1A,1.2124,0,group1,4,3
3600,3,0V1A,2.6947,1,group1,4,3
3601,3,0V1A,2.0466,1,group1,2,3
3602,3,0V1A,1.7758,1,group1,2,3
3603,3,0V1A,2.1459,0,group1,2,3
3604,3,0V1A,1.9555,0,group1,2,3
3605,3,0V1A,2.6904,0,group1,2,3
3606,3,0V1A,1.5715,0,group1,2,3
3607,3,0V1A,0.9035,0,group1,2,3
3608,3,0V1A,1.5482,0,group1,2,3
3609,3,0V1A,1.6081,0,group1,3,3
3610,3,0V1A,1.4599,1,group1,3,3
3611,3,0V1A,4.7857,0,group1,3,3
3612,3,0V1A,1.4223,0,group1,3,3
7141,3,1V0A,2.649,1,group1,5,4
7142,3,1V0A,2.27,0,group1,5,4
7143,3,1V0A,2.605,0,group1,5,4
7144,3,1V0A,1.1176,1,group1,5,4
7145,3,1V0A,2.0309,0,group1,4,4
7146,3,1V0A,1.9253,0,group1,4,4
7147,3,1V0A,2.544,0,group1,4,4
7148,3,1V0A,2.0928,1,group1,4,4
7149,3,1V0A,1.8421,0,group1,2,3
7150,3,1V0A,1.7391,1,group1,2,3
7151,3,1V0A,1.5341,1,group1,2,3
7152,3,1V0A,2.7399,0,group1,2,3
7153,3,1V0A,3.7518,1,group1,4,3
7154,3,1V0A,1.8507,0,group1,4,3
7155,3,1V0A,1.9594,0,group1,4,3
7156,3,1V0A,2.3853,0,group1,4,3
7157,3,1V0A,1.7318,0,group1,2,3
7158,3,1V0A,3.6084,1,group1,2,3
7159,3,1V0A,3.1271,0,group1,2,3
7160,3,1V0A,1.4399,0,group1,2,3
7161,3,1V0A,2.1761,0,group1,2,3
7162,3,1V0A,1.8595,0,group1,2,3
7163,3,1V0A,1.144,0,group1,2,3
7164,3,1V0A,1.3667,0,group1,2,3
7165,3,1V0A,1.0814,1,group1,3,3
7166,3,1V0A,1.7623,1,group1,3,3
7167,3,1V0A,1.1664,1,group1,3,3
7168,3,1V0A,1.0036,1,group1,3,3
10697,3,1V1A,5.2955,1,group1,5,4
10698,3,1V1A,1.7435,1,group1,5,4
10699,3,1V1A,1.3591,1,group1,5,4
10700,3,1V1A,1.6119,1,group1,5,4
10701,3,1V1A,5.0673,0,group1,4,4
10702,3,1V1A,3.7781,1,group1,4,4
10703,3,1V1A,3.0739,0,group1,4,4
10704,3,1V1A,2.5423,1,group1,4,4
10705,3,1V1A,2.0551,0,group1,2,3
10706,3,1V1A,1.5856,0,group1,2,3
10707,3,1V1A,2.2373,1,group1,2,3
10708,3,1V1A,1.9186,1,group1,2,3
10709,3,1V1A,1.7203,0,group1,4,3
10710,3,1V1A,1.5367,0,group1,4,3
10711,3,1V1A,1.494,0,group1,4,3
10712,3,1V1A,1.4776,0,group1,4,3
10713,3,1V1A,2.3545,0,group1,2,3
10714,3,1V1A,1.3185,0,group1,2,3
10715,3,1V1A,2.9642,0,group1,2,3
