,v_0V0A,v_0V1A,v_1V0A,v_1V1A,v_1Vne1A
28,-0.02325427450816708,-0.025510153304403545,-0.2036681838248988,-0.11377461690940739,-0.16221322505409144
29,0.004323292135165964,-0.013989446743533536,-0.12982920517395571,-0.18232832584028777,-0.15426932354588369
30,-0.003717838745510252,0.022022973089521933,-0.12413007172390943,-0.10480430879380223,-0.17598355639693528
31,-0.008671253589396903,0.03937006570630881,-0.14459597973114277,-0.14863268159608917,-0.18755666796225928
32,-0.0004444759648619002,-0.010097131883832216,-0.16484027765683298,-0.14298454030607885,-0.1322391878888686
33,-0.02228164408807485,0.0320259663847748,-0.18021831450653095,-0.16642463978607078,-0.12351947113833181
34,0.01236223464661582,0.013866828317899899,-0.1907658337406957,-0.11558976527232251,-0.1481393436979958
35,-0.024290985072004626,0.044123006128885554,-0.19405471053153406,-0.13363528511607298,-0.14837295651175042
36,-0.0010959654649082794,-0.03650443733515281,-0.13584434388005937,-0.1478327199656226,-0.1858384781078043
37,-0.002176205890104151,0.024022732564852316,-0.2059512123052784,-0.1509076704612943,-0.1684715975852708
38,0.029198865242684446,0.020275082866198238,-0.19848574763264523,-0.12564575277920312,-0.15235554262720516
39,0.07894227558240298,0.048481057738214185,-0.2253584692185278,-0.1447805222600199,-0.13668325713494395
40,-0.01985110831678786,0.0005307135892856085,-0.1754425725191776,-0.1679395656407848,-0.17326914960004572
41,-0.013253491189903249,0.02871319030994466,-0.17175758470754637,-0.14186569560007006,-0.17358710238240324
42,0.017676688436778908,0.015173898734826963,-0.20575903014720384,-0.11447598511071738,-0.14896236932809742
43,-0.04082818044871472,0.03082210965287384,-0.20501854956059706,-0.12603553307274307,-0.15273029737480412
44,-0.041459913225327966,0.051419199713617095,-0.1932877045050718,-0.0726869652217485,-0.16885148856444043
45,-0.022729590077388503,0.045678425472650344,-0.18419384109843873,-0.10202679307914911,-0.15023872839358995
46,-0.02852016596617156,-0.01673523413361755,-0.1632583128048908,-0.12663353983983008,-0.18347555488650943
47,-0.020013256772022717,0.00861775964484534,-0.18572245291516992,-0.0691392054199034,-0.21056780127743469
48,0.0018838533586737673,0.04679019506234631,-0.14301378236205586,-0.1035533339261138,-0.1892669347480006
49,0.011759250946517266,0.07846663601541705,-0.19725130598780263,-0.11297197861345404,-0.16347073856024968
50,-0.013940998569866412,0.022359396432944812,-0.1712824727498005,-0.1254609062869886,-0.16722218667196614
51,-0.02358298649866808,-0.008259574551462371,-0.12801958022435017,-0.09447328188944991,-0.16853145500453678
52,-0.003117346388060098,0.012823061932526702,-0.1631590050667544,-0.12653111578081266,-0.17337205222879903
53,-0.022011969429776963,0.030563405048951206,-0.15035080010158638,-0.1431070388966978,-0.13671068601310313
54,-0.021572123683157328,0.01605215030628194,-0.13093184296280075,-0.1062951531155624,-0.17662222494775537
55,-0.04863325819631698,-0.03318608926246375,-0.1394910189350627,-0.16885081964788004,-0.17178848862148985
56,0.03967104780510827,-0.006126290425339116,-0.16403542479089264,-0.09085296153290193,-0.19414768670454033
57,0.0058540959775300275,0.025698420918113325,-0.14884186534798344,-0.15937013380487272,-0.1279306806549452
58,-0.0029627545855790438,0.03444066565664151,-0.17586205921703144,-0.12859477587407067,-0.16767682469275308
59,-0.003480097879452679,0.04228260191012019,-0.199600531481123,-0.14841673954228288,-0.2158260290200696
60,-0.007719022875245719,0.03022212977425922,-0.16046178867425548,-0.12630709347963084,-0.18118399461029164
61,-0.01583206634556241,0.05287319438291304,-0.17858085256825493,-0.13076594198292685,-0.18960345721708005
62,0.002812277933581039,0.05632895250793947,-0.13719005815598306,-0.09554351320905557,-0.18292022668208874
63,0.009228306342253391,0.02286912721702279,-0.1611396072534652,-0.12588965235837693,-0.13782815924596914
64,0.010592919187290623,0.03916950321039424,-0.1386777887931438,-0.10687240382164008,-0.15580280532610594
65,-0.010632202216818279,0.027133889760184833,-0.18062423605437816,-0.16535609760692735,-0.16453214250253928
66,0.0077223498667532905,0.01610214720001587,-0.19008692251620377,-0.1623768647009995,-0.190097870193326
67,0.0538721710436018,-0.020246920386695354,-0.14010010105248422,-0.18289929683612685,-0.21050925706019943
68,0.015657400814175482,-0.003267102679788249,-0.09818375262803844,-0.1431074247608598,-0.19970890688989842
69,-0.036120675769388925,0.0072348878603845646,-0.17404083201346845,-0.12189505978306235,-0.17285182300717972
70,-0.0009874654473812023,0.027680251286883215,-0.15897692407028058,-0.14762043773407463,-0.19733254302808345
71,0.015200683375303982,0.025497659608230513,-0.12123356913450695,-0.11635084875006108,-0.15962443480193347
72,0.007241811573342843,0.0006832914034288311,-0.17993303037119796,-0.11329010115227933,-0.16866812638143305
73,-0.039427563653808485,0.009340927344685425,-0.12234900260520695,-0.11975456634683619,-0.17414332136762875
74,-0.041703892113511914,0.023265430817714275,-0.1681447833430445,-0.10679227643837311,-0.16022336810914978
